Raman shift [1/cm];Intensity;intensity;intensity;intensity;intensity;
2472,000;55,791665;138,76378;42,112836;78,870857;104,50183;
2470,000;59,492082;138,20997;95,845535;110,66739;77,051958;
2468,000;32,908081;73,74337;38,753495;94,976693;110,6204;
2466,000;54,561441;130,62354;63,631062;64,81255;78,015636;
2464,000;58,323741;111,55849;-0,66368388;76,303365;43,480589;
2462,000;47,537636;87,998603;51,156972;49,025572;48,792305;
2460,000;54,267697;30,45807;76,665966;84,099861;32,795918;
2458,000;40,234871;114,0233;69,762537;26,629932;98,131118;
2456,000;43,565765;101,71595;34,932985;18,008335;62,546714;
2454,000;31,483245;132,77038;36,934121;70,217323;84,586827;
2452,000;78,163334;118,58966;27,071018;95,091314;122,75465;
2450,000;49,154422;125,57844;56,925864;24,076318;22,236649;
2448,000;68,53141;80,650976;116,25227;76,918202;32,708006;
2446,000;22,491312;83,036637;66,28796;83,968209;43,062846;
2444,000;31,690082;62,160238;31,977444;91,003581;122,59742;
2442,000;28,027114;82,891055;53,551592;71,929218;93,619199;
2440,000;33,487645;60,573251;74,114754;37,750499;65,669111;
2438,000;37,288404;81,760399;88,005905;49,965942;47,829435;
2436,000;54,757954;124,74835;-16,723256;64,775703;50,255441;
2434,000;32,005751;61,237355;73,746778;94,682507;65,222926;
2432,000;86,21061;101,02555;26,270324;55,663914;33,912701;
2430,000;22,187185;91,442645;84,268902;73,990224;67,437235;
